CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT,caseId.SCDB,JRC caseID,,
United States v. Wheeler,254 U.S. 281,13/12/1920,1920,1920,1,1,struck down as applied,Penal Law Codification of 1909,35 Stat. 1088,60-350,04/03/1909,141,60,5,2,1,0,1,0,0,0,1,1,0,NA,1920.08,,
"J.W. Goldsmith, Jr.-Grant Co. v. United States",254 U.S. 505,17/01/1921,1921,1920,0,0,upheld,Internal Revenue Act of 1866,14 Stat. 98,,7/13/1866,655,39,4,1,0,0,1,0,0,0,1,1,0,NA,1921.01,,
Central Union Trust Co. v. Garvan,254 U.S. 554,24/01/1921,1921,1920,0,0,upheld,40 Stat. 425,40 Stat. 425,65-91,06/10/1917,39,65,1,4,1,0,1,0,0,0,1,0,1,NA,1921.02,,
Kahn v. Anderson,255 U.S. 1,31/01/1921,1921,1920,0,0,upheld,Army Emergency Increase Act,40 Stat. 76,65-12,18/05/1917,40,65,1,,1,0,1,0,0,0,1,0,1,NA,1921.03,,
"Weeds, Inc. v. United States",255 U.S. 109,28/02/1921,1921,1920,2,1,struck down on face,"Lever Act (Food Control), District of Columbia Rents and Food Act (Ball Act)",41 Stat. 298,66-63,22/10/1919,16,66,1,,0,0,1,0,1,1,1,0,0,NA,1921.04,,
Smith v. Kansas City Title & Trust Co.,255 U.S. 180,28/02/1921,1921,1920,0,0,upheld,Federal Farm Loan Act; Farm Loan Bonds Act,39 Stat. 360,64-158,18/01/1918,37,65,4,,0,0,1,0,0,0,0,2,1,NA,1921.05,,
Baender v. Barnett,255 U.S. 224,28/02/1921,1921,1920,0,0,upheld,Criminal Code (Conspiracy Act),35 Stat. 1096,60-350,04/03/1909,24,60,1,,1,0,1,0,0,0,0,0,0,NA,1921.06,,
Stoehr v. Wallace,255 U.S. 239,28/02/1921,1921,1920,0,0,upheld,Trading With the Enemy Act,40 Stat. 411,65-91,06/10/1917,41,65,4,1,1,1,1,0,0,0,1,0,1,NA,1921.07,,
Winton v. Amos,255 U.S. 373,07/03/1921,1921,1920,0,0,upheld,Five Civilized Tribes Act (Curtis Act),34 Stat. 140,59-129,26/04/1906,179,59,1,,0,0,1,0,1,0,0,0,0,NA,1921.08,,
Hollis v. Kutz,255 U.S. 452,21/03/1921,1921,1920,0,0,upheld,District of Columbia Public Utility Act,37 Stat 974,62-435,04/03/1913,97,62,1,,0,0,0,0,0,0,1,0,1,NA,1921.09,,
Merchants' Loan & Trust Co. v. Smietanka,255 U.S. 509,28/03/1921,1921,1920,0,0,upheld,War Revenue Act of 1916, 40 Stat. 300 ,65-50,03/10/1917,42,65,4,,1,0,1,0,0,0,1,0,1,NA,1921.10,,
United States v. L. Cohen Grocery Co.,255 U.S. 81,28/02/1921,1921,1920,2,1,struck down on face,"Lever Act (Food Control), District of Columbia Rents and Food Act (Ball Act)",41 Stat. 298,66-63,22/10/1919,16,66,1,,0,0,1,0,0,1,1,0,0,NA,1921.11,,
Block v. Hirsh,256 U.S. 135,18/04/1921,1921,1920,0,0,upheld,District of Columbia Rents and Food Act (Ball Act),41 stat 297,66-63,22/10/1919,18,66,1,,0,0,1,0,1,0,0,4,0,NA,1921.12,,
Newberry v. United States,256 U.S. 232,02/05/1921,1921,1920,1,1,struck down as applied,Federal Corrupt Practices Acts,37 Stat. 25,62-32,19/08/1911,116,62,5,,0,0,1,0,1,1,1,1,1,NA,1921.13,,
New York Trust Co. v. Eisner,256 U.S. 345,16/05/1921,1921,1920,0,0,upheld,Revenue Act of 1916 (Estate Tax Acts),39 Stat. 756,64-271,08/09/1916,57,64,5,4,1,1,1,0,0,0,0,0,1,NA,1921.14,,
Dillon v. Gloss,256 U.S. 368,16/05/1921,1921,1920,0,0,upheld,Eighteenth Amendment (Prohibition),40 Stat. 1050,,19/12/1917,41,65,6,,1,1,1,0,0,0,1,0,1,NA,1921.15,,
La Belle Iron Works v. United States,256 U.S. 377,16/05/1921,1921,1920,0,0,upheld,War Revenue Act of 1916,40 Stat. 300 ,65-50,03/10/1917,44,65,4,1,1,0,1,0,0,0,1,0,1,NA,1921.16,,
District of Columbia v. R.P. Andrews Paper Co.,256 U.S. 582,01/06/1921,1921,1920,0,0,upheld,District of Columbia Appropriations Act,39 Stat. 676,64-250,01/09/1916,57,64,1,,0,0,0,1,1,0,1,0,1,NA,1921.17,,
"Rafferty v. Smith, Bell & Co.",257 U.S. 226,05/12/1921,1921,1920,0,0,upheld,Third Deficiency Appropriation Act,41 Stat. 1015,66-264,05/06/1920,18,66,5,,0,0,0,1,1,0,1,0,0,NA,1921.18,,
New York v. United States,257 U.S. 591,27/02/1922,1922,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,28/02/1920,24,66,4,1,1,1,1,0,0,0,1,0,0,NA,1922.01,,
Alaska v. Troy,258 U.S. 101,27/02/1922,1922,1920,0,0,upheld,Merchant Marine Act,41 Stat. 988,66-261,05/06/1920,21,66,5,,1,0,1,0,0,0,1,0,0,NA,1922.02,,
Leser v. Garnett,258 U.S. 130,27/02/1922,1922,1920,0,0,upheld,Nineteenth Amendment (Women's Suffrage),41 Stat. 1823,,26/08/1920,18,66,5,6,1,1,1,1,0,0,0,0,0,NA,1922.03,,
Leach v. Carlile,258 U.S. 138,27/02/1922,1922,1920,0,0,upheld,17 Stat. 283,17 Stat. 283,,6/8/1872,596,42,1,,0,0,1,0,0,0,1,2,0,NA,1922.04,,
United States v. Balint,258 U.S. 250,27/03/1922,1922,1920,0,0,upheld,Harrison Narcotic Drug Act,38 Stat. 785,63-223,17/12/1914,87,63,1,,0,0,1,0,1,0,1,0,1,NA,1922.05,,
Greiner v. Lewellyn,258 U.S. 384,10/04/1922,1922,1920,0,0,upheld,Revenue Act of 1916 (Estate Tax Acts),39 Stat. 756,64-271,08/09/1916,67,64,5,,1,0,1,0,0,0,1,0,1,NA,1922.06,,
United States v. Moreland,258 U.S. 433,17/04/1922,1922,1920,2,1,struck down on face,"District of Columbia, Abandonment of Wife or Child",34 Stat. 86,59-66,23/03/1906,193,59,1,,0,0,1,1,0,1,1,3,0,NA,1922.07,,
United Shoe Machinery Corp. v. United States,258 U.S. 451,17/04/1922,1922,1920,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,15/10/1914,91,63,4,1,1,1,1,0,0,0,1,1,1,NA,1922.08,,
Stafford v. Wallace,258 U.S. 495,01/05/1922,1922,1920,0,0,upheld,Packers and Stockyards Act,42 Stat. 159,67-51,15/08/1921,9,67,4,1,1,1,1,0,0,0,1,1,0,NA,1922.09,,
Heald v. District of Columbia,259 U.S. 114,15/05/1922,1922,1920,0,0,upheld,"Appropriations, District of Columbia",39 Stat. 1004,64-378,03/03/1917,62,64,4,5,0,0,0,0,0,0,1,0,1,NA,1922.10,,
Child Labor Tax Case,259 U.S. 20,15/05/1922,1922,1920,2,1,struck down on face,Revenue Act of 1918 (Child Labor Tax Acts),40 Stat. 1057,65-254,24/02/1919,38,65,4,5,0,0,1,0,0,1,1,1,1,NA,1922.11,,
Ng Fung Ho v. White,259 U.S. 276,29/05/1922,1922,1920,1,1,struck down as applied,Immigration Act of 1917,39 Stat. 874,64-301,05/02/1917,63,64,1,,1,1,1,1,1,0,1,0,1,NA,1922.12,,
United Mine Workers v. Coronado Coal Co.,259 U.S. 344,05/06/1922,1922,1920,1,1,struck down as applied,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,383,51,4,,1,1,0,0,1,0,0,0,0,NA,1922.13,,
Hill v. Wallace,259 U.S. 44,15/05/1922,1922,1920,2,1,struck down on face,Future Trading Act,42 Stat. 187,67-66,24/08/1921,8,67,4,5,1,1,1,0,1,1,1,0,0,NA,1922.14,,
Lipke v. Lederer,259 U.S. 557,05/06/1922,1922,1920,1,1,struck down as applied,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,28/10/1919,31,66,4,1,1,0,1,0,1,0,1,2,0,NA,1922.15,,
Walker v. Gish,260 U.S. 447,02/01/1923,1923,1920,0,0,upheld,District of Columbia (Building Regulations),20 Stat. 131,,6/14/1878,535,45,1,,0,0,0,0,0,0,0,0,1,NA,1923.01,,
New England Div. Case,261 U.S. 184,19/02/1923,1923,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,28/02/1920,36,66,4,1,1,1,1,0,0,0,1,0,0,NA,1923.02,,
Keller v. Potomac Electric Power Co.,261 U.S. 428,09/04/1923,1923,1920,2,1,struck down on face,District of Columbia Public Utility Act,37 Stat 974,62-435,04/03/1913,121,62,6,,0,0,0,0,0,1,1,0,1,NA,1923.03,,
Omnia Commercial Co. v. United States,261 U.S. 502,09/04/1923,1923,1920,0,0,upheld,Emergency Shipping Fund Act,40 Stat. 182,65-23,15/06/1917,70,65,4,,0,0,1,0,0,0,1,0,1,NA,1923.04,,
Adkins v. Children's Hosp.,261 U.S. 525,09/04/1923,1923,1920,2,1,struck down on face,District of Columbia Minimum Wage Act,40 Stat 960,65-215,19/09/1918,54,65,2,,0,0,0,0,0,1,1,3,1,NA,1923.05,,
Pennsylvania R. Co. v. United States R. Labor Board,261 U.S. 72,19/02/1923,1923,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,28/02/1920,36,66,4,,1,0,1,0,0,0,1,0,0,NA,1923.06,,
Board of Trade v. Olsen,262 U.S. 1,16/04/1923,1923,1920,0,0,upheld,Grain Futures Act (Capper-Tincher Act),42 Stat. 998,67-331,21/09/1922,7,67,4,1,1,1,1,0,0,0,1,2,0,NA,1923.07,,
A.G. Spalding & Bros. v. Edwards,262 U.S. 66,23/04/1923,1923,1920,1,1,struck down as applied,War Revenue Act of 1916,40 Stat. 300,65-50,03/10/1917,69,65,4,,1,0,1,0,1,0,1,0,1,NA,1923.08,,
Brown v. United States,263 U.S. 78,12/11/1923,1923,1920,0,0,upheld,Sundry Civil Act,41 Stat. 1367,66-389,04/03/1921,32,66,4,1,0,0,1,0,0,0,1,0,0,NA,1923.09,,
Dayton-Goose C.R. Co. v. United States,263 U.S. 456,07/01/1924,1924,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,28/02/1920,46,66,4,1,1,1,0,0,0,0,1,0,0,NA,1924.01,,
Washington v. W.C. Dawson & Co.,264 U.S. 219,25/02/1924,1924,1920,1,1,struck down as applied,Workmen's Compensation Jurisdiction Act,42 Stat. 634,67-239,10/06/1922,21,67,5,6,0,0,0,0,0,1,0,1,0,NA,.1924.02,,
FTC v. American Tobacco Co.,264 U.S. 298,17/03/1924,1924,1920,1,1,struck down as applied,Federal Trade Commission Act,38 Stat. 717,63-203,26/09/1914,114,63,1,,1,1,1,0,0,0,1,0,1,NA,1924.03,,
Mahler v. Eby,264 U.S. 32,18/02/1924,1924,1920,0,0,upheld,Deportation Act,41 Stat. 593,66-197,10/05/1920,46,66,1,6,0,0,1,0,1,0,1,0,0,NA,1924.04,,
Panama R. Co. v. Johnson,264 U.S. 375,07/04/1924,1924,1920,0,0,upheld,"Seamen's Act (LaFollette Act), Merchant Marine Act of 1920",38 Stat. 1164,63-302,05/06/1920,46,66,1,,1,0,0,0,0,0,0,0,0,NA,1924.05,,
Chastleton Corp. v. Sinclair,264 U.S. 543,21/04/1924,1924,1920,1,1,struck down as applied,District of Columbia Rents Act,42 stat 543,67-222,22/05/1922,23,67,4,1,0,0,0,0,1,0,1,0,0,NA,1924.06,,
Cook v. Tait,265 U.S. 47,05/05/1924,1924,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,23/11/1921,29,67,4,5,0,0,1,0,0,0,1,0,0,NA,1924.07,,
James Everard's Breweries v. Day,265 U.S. 545,09/06/1924,1924,1920,0,0,upheld,National Prohibition Act Supplemental (Willis-Campbell Act),41 Stat. 305,66-66,23/11/1921,30,67,4,5,0,0,1,0,0,0,1,0,0,NA,1924.08,,
National Paper & Type Co. v. Bowers,266 U.S. 373,14/12/1924,1924,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,23/11/1921,36,67,4,,0,0,1,0,0,0,1,0,0,NA,1924.09,,
Michaelson v. United States,266 U.S. 42,20/10/1924,1924,1920,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,15/10/1914,121,63,4,1,1,1,0,1,1,0,1,0,1,NA,1924.10,,
Barclay & Co. v. Edwards,267 U.S. 442,15/12/1924,1924,1920,0,0,upheld,Revenue Act of 1918,40 Stat. 1057,65-254,24/02/1919,69,65,4,,0,0,1,0,0,0,1,0,1,NA,1924.11,,
Carroll v. United States,267 U.S. 132,02/03/1925,1925,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,28/10/1919,63,66,1,,1,0,1,0,0,0,1,0,0,NA,1925.01,,
Brooks v. United States,267 U.S. 432,09/03/1925,1925,1920,0,0,upheld,National Motor Vehicle Theft Act (Dyer Act),41 Stat. 324,66-70,29/10/1919,63,66,5,1,0,0,1,0,0,0,1,0,0,NA,1925.02,,
Yee Hem v. United States,268 U.S. 178,27/04/1925,1925,1920,0,0,upheld,Harrison Narcotic Drug Act,38 Stat. 785,63-223,17/01/1914,135,63,1,,0,0,1,0,0,0,1,0,1,NA,1925.03,,
Selzman v. United States,268 U.S. 466,01/06/1925,1925,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,28/10/1919,67,66,4,,1,1,1,0,0,0,1,0,0,NA,1925.04,,
Linder v. United States,268 U.S. 5,13/04/1925,1925,1920,1,1,struck down as applied,Harrison Narcotic Drug Act,38 Stat. 785,63-223,17/12/1914,123,63,4,5,0,0,1,1,1,0,1,0,1,NA,1925.05,,
Miles v. Graham,268 U.S. 501,01/06/1925,1925,1920,1,1,struck down as applied,Revenue Act of 1918,40 Stat. 1057,65-254,24/02/1919,75,65,6,4,0,0,1,0,0,1,1,1,1,NA,1925.06,,
Burk-Waggoner Oil Assn. v. Hopkins,269 U.S. 110,16/11/1925,1925,1920,0,0,upheld,Revenue Act of 1918,40 Stat. 1057,65-254,24/02/1919,81,65,4,,0,0,1,0,0,0,1,0,1,NA,1925.07,,
United States v. New York & Cuba Mail S.S. Co.,269 U.S. 304,14/12/1925,1925,1920,0,0,upheld,"Alien Seamen, Hospital Treatment",41 Stat. 1082,66-289,26/12/1920,59,66,1,,0,0,1,1,1,0,1,0,0,NA,1925.08,,
Druggan v. Anderson,269 U.S. 36,19/10/1925,1925,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,28/10/1919,72,66,4,,1,0,1,0,0,0,1,0,0,NA,1925.09,,
Old Dominion Land Co. v. United States,269 U.S. 55,16/11/1925,1925,1920,0,0,upheld,"Army, Real Estate Purchases",42 Stat. 418,67-169,08/03/1922,45,67,4,1,0,0,1,0,0,0,1,0,0,NA,1925.10,,
Trusler v. Crooks,269 U.S. 475,11/01/1926,1926,1920,2,1,struck down on face,Future Trading Act,42 Stat. 187,67-66,24/08/1921,52,67,4,,1,1,1,0,1,1,1,0,0,NA,1926.01,,
Metcalf & Eddy v. Mitchell,269 U.S. 514,11/01/1926,1926,1920,0,0,upheld,War Revenue Act of 1917,40 Stat. 300 ,65-50,03/10/1917,106,65,4,5,1,0,1,0,0,0,0,0,1,NA,1926.02,,
White v. United States,270 U.S. 175,01/03/1926,1926,1920,0,0,upheld,War Risk Insurance Act Amendments (Sweet Act),41 Stat. 371,66-104,24/12/1919,74,66,4,,0,0,1,0,0,0,1,0,0,NA,1926.03,,
Missouri P.R. Co. v. Boone,270 U.S. 466,22/03/1926,1926,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,28/02/1920,73,66,5,,1,1,0,1,0,0,0,0,0,NA,1926.04,,
"United States v. Holt State Bank, et al.",270 U.S. 49,01/02/1926,1926,1920,1,1,struck down as applied,Nelson Act,25 Stat. 642,,1/14/1889,445,51,5,,0,0,1,0,1,0,1,0,0,NA,1926.05,,
Tutun v. United States,270 U.S. 568,12/04/1926,1926,1920,0,0,upheld,Naturalization of Aliens Act,34 Stat. 596,59-338,29/06/1906,237,59,1,,1,0,1,0,0,0,1,0,0,NA,1926.06,,
Colorado v. United States,271 U.S. 153,03/05/1926,1926,1920,0,0,upheld,Transportation Act of 1920 (Esch-Cummings Act),41 Stat. 456,66-152,28/02/1920,74,66,5,,1,1,1,0,0,0,1,0,0,NA,1926.07,,
Thornton v. United States,271 U.S. 414,01/06/1926,1926,1920,0,0,upheld,Animal Industry Act,23 Stat. 31,,5/29/1884,504,48,5,1,1,1,1,1,0,0,1,0,1,NA,1926.08,,
"United States v. Chemical Foundation, Inc.",272 U.S. 1,11/10/1926,1926,1920,0,0,upheld,Trading With the Enemy Act,40 Stat. 411,65-91,06/10/1917,108,65,4,6,1,1,1,0,0,0,1,0,1,NA,1926.09,,
Myers v. United States,272 U.S. 52,25/10/1926,1926,1920,2,1,struck down on face,Postal Service Appropriations Act,19 Stat. 78,,7/12/1876,604,44,6,,0,0,1,0,0,1,1,3,1,NA,1926.10,,
Lambert v. Yellowley,272 U.S. 581,29/11/1926,1926,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,28/10/1919,85,66,4,,1,0,1,0,0,0,1,4,0,NA,1926.11,,
Albrecht v. United States,273 U.S. 1,03/01/1927,1927,1920,0,0,upheld,National Prohibition Acts (Volstead Act),41 Stat. 305,66-66,28/10/1919,86,66,1,,1,0,1,0,0,0,1,0,0,NA,1927.01,,
Florida v. Mellon,273 U.S. 12,03/01/1927,1927,1920,0,0,upheld,Revenue Act of 1926,44 Stat. 9 ,69-20,26/02/1926,10,69,4,5,1,1,1,0,0,0,1,0,0,NA,1927.02,,
Liggett & Myers Tobacco Co. v. United States,274 U.S. 215,02/05/1927,1927,1920,0,0,upheld,"Naval Service Appropriations Act, Urgent Deficiencies Appropriations Act",40 stat 182,65-23,15/06/1917,118,65,4,,0,0,1,1,1,0,1,0,1,NA,1927.03,,
Westfall v. United States,274 U.S. 256,16/05/1927,1927,1920,0,0,upheld,"Federal Reserve Act, Federal Reserve Act Amendments",40 stat 234,65-25, 6/21/1917,119,65,4,,0,0,1,0,0,0,1,0,1,NA,1927.04,,
United States v. Sullivan,274 U.S. 259,16/05/1927,1927,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,23/11/1921,66,67,4,,0,0,1,1,1,0,1,0,0,NA,1927.05,,
United States v. Alford,274 U.S. 264,16/05/1927,1927,1920,0,0,upheld,"Indians, Miscellaneous Provisions",36 stat 861,61-313,25/06/1910,191,61,5,,0,0,1,0,1,0,1,0,0,NA,1927.06,,
Alston v. United States,274 U.S. 289,16/05/1927,1927,1920,0,0,upheld,Harrison Narcotic Drug Act,38 Stat. 785,63-223,17/12/1914,149,63,4,,0,0,1,0,0,0,1,0,1,NA,1927.07,,
Phelps v. United States,274 U.S. 341,16/05/1927,1927,1920,0,0,upheld,Federal Possession and Control Act (Railroads in War),39 Stat. 645,64-242,29/08/1916,129,64,1,4,0,0,1,1,1,0,1,0,1,NA,1927.08,,
Nichols v. Coolidge,274 U.S. 531,31/05/1927,1927,1920,1,1,struck down as applied,Revenue Act of 1918,40 Stat. 1057,65-254,24/02/1919,99,65,1,4,0,0,1,0,0,1,1,0,1,NA,1927.09,,
Blodgett v. Holden,275 U.S. 142,21/11/1927,1927,1920,1,1,struck down as applied,Revenue Act of 1924 (Gift Tax Acts),43 Stat. 253,68-176,02/06/1924,42,68,1,4,1,0,1,0,0,0,1,0,0,NA,1927.10,,
Richmond Screw Anchor Co. v. United States,275 U.S. 331,03/03/1928,1928,1920,1,1,struck down as applied,Navy Appropriations Act of 1918,40 Stat. 704,65-182,01/07/1918,116,65,4,,0,0,1,1,1,0,1,0,1,NA,1928.01,,
Nigro v. United States,276 U.S. 332,09/04/1928,1928,1920,0,0,upheld,"Anti-Narcotic Act (Harrison Act), Revenue Act of 1918",40 Stat. 1057,65-254,24/02/1919,109,65,4,,0,0,1,0,0,0,1,3,1,NA,1928.02,,
J.W. Hampton Jr. & Co. v. United States,276 U.S. 394,09/04/1928,1928,1920,0,0,upheld,Tariff Act of 1922 (Fordney-McCumber Act),42 Stat. 858,67-318,21/09/1922,66,67,6,,1,1,1,1,0,0,1,0,0,NA,1928.03,,
Casey v. United States,276 U.S. 413,09/04/1928,1928,1920,0,0,upheld,"Anti-Narcotic Act (Harrison Act), Revenue Act of 1918",40 Stat. 1057,65-254,24/02/1919,109,65,4,,0,0,1,1,0,0,1,4,1,NA,1928.04,,
Untermyer v. Anderson,276 U.S. 440,09/04/1928,1928,1920,1,1,struck down as applied,Revenue Act of 1924 (Gift Tax Acts),43 Stat. 253,68-176,02/06/1924,46,68,4,,1,0,1,1,1,1,1,3,0,NA,1928.05,,
National Life Insurance Co. v. United States,277 U.S. 508,04/06/1928,1928,1920,1,1,struck down as applied,Revenue Act of 1921,42 Stat. 227,67-98,23/11/1921,78,67,4,,0,0,1,1,1,1,1,3,0,NA,1928.06,,
Chase National Bank v. United States,278 U.S. 327,02/01/1929,1929,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,23/11/1921,85,67,4,,0,0,1,0,0,0,1,2,0,NA,1929.01,,
Wisconsin v. Illinois,278 U.S. 367,14/01/1929,1929,1920,0,0,upheld,Rivers and Harbors Appropriations Act of 1899,30 Stat. 1151,,3/3/1899,358,55,5,,0,0,0,0,0,0,0,0,0,NA,1929.02,,
Arlington Hotel Co. v. Fant,278 U.S. 439,18/02/1929,1929,1920,0,0,upheld,"Hot Springs Reservation, Arkansas, Jurisdiction Accepted",33 stat 187,58-124,20/04/1904,298,58,5,,0,0,0,0,0,0,0,0,0,NA,1929.03,,
Taft v. Bowers,278 U.S. 470,18/02/1929,1929,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,23/11/1921,87,67,4,,0,0,1,1,0,0,1,0,0,NA,1929.04,,
Highland v. Russell Car & Snow Plow Co.,279 U.S. 253,08/04/1929,1929,1920,0,0,upheld,Lever Act (Food Control),40 stat 276,65-41,10/08/1917,140,65,4,1,1,1,0,1,0,0,0,0,1,NA,1929.05,,
Sinclair v. United States,279 U.S. 263,08/04/1929,1929,1920,0,0,upheld,National Defense Act Amendments,41 Stat. 759,66-242,04/06/1920,106,66,1,4,0,0,0,0,0,0,1,0,0,NA,1929.06,,
Ex Parte Worcester County National Bank,279 U.S. 347,13/05/1929,1929,1920,0,0,upheld,McFadden Act (Branch Banks),44 Stat. 1224,69-369,25/02/1927,26,69,5,4,0,0,0,0,0,0,0,0,0,NA,1929.07,,
United States v. Schwimmer,279 U.S. 644,27/05/1929,1929,1920,0,0,upheld,Naturalization of Aliens Act,34 Stat. 596,59-338,29/06/1906,275,59,1,,1,0,1,1,1,0,1,3,0,NA,1929.08,,
Pocket Veto Cases,279 U.S. 655,27/05/1929,1929,1920,2,1,struck down on face,Indian Claims Act (Senate Bill 3185),44 Stat. 555,69-228,24/06/1926,35,69,6,,0,0,1,1,0,0,1,0,0,NA,1929.09,,
Old Colony Trust Co. v. Commissioner,279 U.S. 716,03/06/1929,1929,1920,0,0,upheld,"Revenue Act of 1924, Revenue Act of 1926",43 Stat. 253,68-176,26/02/1926,45,69,4,1,1,0,1,0,0,0,1,1,0,NA,1929.10,,
County of Spokane v. United States,279 U.S. 80,08/04/1929,1929,1920,0,0,upheld,Duties Act of 1799,1. Stat. 627,5-18,3/2/1799,1559,5,4,,0,0,1,1,0,0,1,0,1,NA,1929.11,,
Bromley v. McCaughn,280 U.S. 124,25/11/1929,1929,1920,0,0,upheld,"Revenue Act of 1924, Revenue Act of 1926",43 Stat. 253,68-176,26/02/1926,45,69,4,,1,0,1,0,0,0,1,3,0,NA,1929.12,,
United States v. Jackson,280 U.S. 183,06/01/1930,1930,1930,0,0,upheld,34 Stat. 326,34 Stat. 326,59-258,21/06/1906,283,59,4,,0,0,1,0,0,0,1,0,0,NA,1930.01,,
Clarke v. Haberle Crystal Springs Brewing Co.,280 U.S. 384,27/01/1930,1930,1930,0,0,upheld,Revenue Act of 1918,40 Stat. 1078,65-254,24/02/1919,131,65,4,,0,0,1,1,1,0,1,0,1,NA,1930.02,,
United States v. Wurzbach,280 U.S. 396,24/02/1930,1930,1930,0,0,upheld,Federal Corrupt Practices Acts,43 Stat. 1073,68-506,28/02/1925,60,68,5,1,1,1,1,0,1,0,1,0,0,NA,1930.03,,
Tagg Brothers & Moorhead v. United States,280 U.S. 420,24/02/1930,1930,1930,0,0,upheld,Packers and Stockyards Act,42 Stat. 159,67-51,15/08/1921,102,67,4,,1,1,1,0,0,0,1,0,0,NA,1930.04,,
Corliss v. Bowers,281 U.S. 376,28/04/1930,1930,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 277,68-176,02/06/1924,70,68,4,,1,0,1,1,0,0,1,0,0,NA,1930.05,,
Tyler v. United States,281 U.S. 497,19/05/1930,1930,1930,0,0,upheld,Revenue Act of 1916,39 Stat. 777,64-271,08/09/1916,164,64,4,,1,0,1,1,1,0,1,0,1,NA,1930.06,,
Texas & New Orleans Railroad Company et al. v. Brotherhood of Railway & Steamship Clerks et al.,281 U.S. 548,26/05/1930,1930,1930,0,0,upheld,Railway Labor Act,44 Stat. 577,69-257,20/05/1926,48,69,5,4,1,0,0,1,0,0,0,0,0,NA,1930.07,,
Ann Arbor Railroad Company v. United States,281 U.S. 658,02/06/1930,1930,1930,1,1,struck down as applied,Hoch-Smith Resolution,43 Stat. 801,68-352,30/01/1925,64,68,4,,0,0,1,0,1,0,1,0,0,NA,1930.08,,
Willcuts v. Bunn,282 U.S. 216,05/01/1931,1931,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 268,68-176,02/06/1924,79,68,5,,1,0,1,1,1,0,1,0,0,NA,1931.01,,
Graham & Foster v. Goodcell,282 U.S. 409,26/01/1931,1931,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 875,70-562,29/05/1928,32,70,4,,0,0,1,1,0,0,1,0,0,NA,1931.02,,
Russian Volunteer Fleet v. United States,282 U.S. 481,24/02/1931,1931,1930,1,1,struck down as applied,Emergency Shipping Fund Act,40 Stat. 183,65-23,15/06/1917,164,65,4,,0,0,1,1,1,0,1,0,1,NA,1931.03,,
United States v. Sprague,282 U.S. 716,24/02/1931,1931,1930,0,0,upheld,National Prohibition Act,41 Stat. 305,66-66,28/10/1919,136,66,6,5,1,1,1,0,1,0,1,0,0,NA,1931.04,,
Milliken v. United States,283 U.S. 15,02/03/1931,1931,1930,0,0,upheld,Revenue Act of 1918,40 Stat. 1096,65-254,24/02/1919,145,65,1,4,0,0,1,1,0,0,1,0,1,NA,1931.05,,
Group No. 1 Oil Corp. v. Bass,283 U.S. 279,13/04/1931,1931,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 791,70-562,29/05/1928,35,70,5,,0,0,1,1,0,0,1,0,0,NA,1931.06,,
Indian Motorcycle Co. v. United States,283 U.S. 570,25/05/1931,1931,1930,1,1,struck down as applied,War Revenue Act of 1916,40 Stat. 300,65-50,03/10/1917,164,65,4,,1,0,1,0,,,1,2,1,NA,1931.07,,
Phillips v. Commissioner,283 U.S. 589,25/05/1931,1931,1930,0,0,upheld,Revenue Act of 1925,44 Stat. 61,69-20,26/02/1926,63,69,1,,1,0,1,1,0,0,1,0,0,NA,1931.08,,
