origincityLabel,origincountry,originlat,originlong,originpopulation,sistercityLabel,destinationlat,destinationlong,destinationpopulation,destination_countryLabel,dist,eu,samecountry,typecountry
Ermont,France,48.99138889,2.259444444,28021,Adria,45.05,12.05,NA,Italy,861,EU,different,EU
Chantepie,France,48.08861111,-1.616388889,10410,Verrayes,45.76666667,7.533333333,NA,Italy,741,EU,different,EU
Colpo,France,47.81916667,-2.810277778,2265,Villa Vicentina,45.81666667,13.4,NA,Italy,1251,EU,different,EU
Saint-Marcel-Bel-Accueil,France,45.6475,5.235833333,1342,Gosaldo,46.22222222,11.95666667,NA,Italy,523,EU,different,EU
Tresserve,France,45.67333333,5.899166667,3109,Avigliana,45.07943889,7.396111111,NA,Italy,134,EU,different,EU
Pertuis,France,43.69416667,5.503055556,19498,Este,45.233333,11.666667,NA,Italy,518,EU,different,EU
Manosque,France,43.83333333,5.783055556,22412,Voghera,44.9925,9.009166667,NA,Italy,287,EU,different,EU
Gières,France,45.18194444,5.791944444,6203,Vignate,45.5,9.366666667,9201,Italy,282,EU,different,EU
Saint-Pierre-de-Chandieu,France,45.64638889,5.014722222,4615,Mezzago,45.62861111,9.444166667,4301,Italy,344,EU,different,EU
Roubaix,France,50.69,3.181666667,95866,Prato,43.88081389,11.09656111,191749,Italy,963,EU,different,EU
Bourges,France,47.08361111,2.395555556,67189,Forlì,44.2225,12.04083333,117859,Italy,814,EU,different,EU
Allos,France,44.24027778,6.628055556,645,Cervasca,44.38333333,7.466666667,NA,Italy,69,EU,different,EU
Saint-Julien-Mont-Denis,France,45.25638889,6.404444444,1636,Villar Focchiardo,45.11666667,7.233333333,NA,Italy,67,EU,different,EU
Falicon,France,43.74888889,7.279722222,1965,Castellino Tanaro,44.43333333,7.983333333,NA,Italy,95,EU,different,EU
Saint-Laurent-de-Mure,France,45.68555556,5.044722222,5361,Chambave,45.75,7.55,NA,Italy,195,EU,different,EU
Marseille,France,43.29666667,5.376388889,855393,Naples,40.83333333,14.25,972212,Italy,782,EU,different,EU
Thann,France,47.80666667,7.104444444,7933,Gubbio,43.35,12.56666667,32282,Italy,653,EU,different,EU
Dreux,France,48.73638889,1.365555556,31373,Todi,42.78333333,12.41666667,NA,Italy,1081,EU,different,EU
Narbonne,France,43.18472222,3.003611111,52802,Grosseto,42.77222222,11.10888889,82263,Italy,661,EU,different,EU
Toulon,France,43.125,5.930555556,163760,La Spezia,44.10804444,9.828880556,93515,Italy,332,EU,different,EU
Bramans,France,45.22361111,6.776111111,426,Giaglione,45.13972222,7.014166667,NA,Italy,21,EU,different,EU
Nanterre,France,48.89055556,2.203611111,93509,Pesaro,43.91015,12.9133,94512,Italy,989,EU,different,EU
Besançon,France,47.24222222,6.021388889,116952,Pavia,45.18528056,9.155,72689,Italy,332,EU,different,EU
Saint-Donat-sur-l'Herbasse,France,45.12305556,4.982777778,3926,Oulx,45.03333333,6.833333333,NA,Italy,146,EU,different,EU
Orange,France,44.1375,4.808888889,28948,Spoleto,42.73333333,12.73333333,38218,Italy,658,EU,different,EU
Mirande,France,43.51472222,0.404166667,3572,San Mauro Torinese,45.10388889,7.753611111,NA,Italy,611,EU,different,EU
Salon-de-Provence,France,43.64055556,5.097222222,44263,Gubbio,43.35,12.56666667,32282,Italy,603,EU,different,EU
Cavalaire-sur-Mer,France,43.17111111,6.529166667,7150,Pino Torinese,45.04348889,7.772555556,8595,Italy,231,EU,different,EU
Bagnols-sur-Cèze,France,44.1625,4.62,18349,Feltre,46.01666667,11.9,20560,Italy,607,EU,different,EU
Decazeville,France,44.55916667,2.255555556,5911,Coazze,45.05,7.3,NA,Italy,402,EU,different,EU
Thionville,France,49.35805556,6.168333333,41627,Varallo Pombia,45.66666667,8.633333333,NA,Italy,450,EU,different,EU
Annecy,France,45.89916667,6.129444444,52029,Vicenza,45.55,11.55,112408,Italy,422,EU,different,EU
Vers-Pont-du-Gard,France,43.96861111,4.524444444,1824,Santa Vittoria d'Alba,44.7,7.933333333,NA,Italy,283,EU,different,EU
Nancy,France,48.69277778,6.183611111,104072,Padua,45.40638889,11.87777778,211560,Italy,565,EU,different,EU
Épernay,France,49.04,3.959166667,23413,Trapani,38.01666667,12.51666667,68665,Italy,1404,EU,different,EU
Pouilly-sous-Charlieu,France,46.14472222,4.108888889,2512,Candiolo,44.96666667,7.6,NA,Italy,302,EU,different,EU
Nogent-sur-Oise,France,49.27472222,2.4675,18753,Orbassano,45,7.533333333,NA,Italy,610,EU,different,EU
Annonay,France,45.24,4.670833333,16075,Barge,44.73333333,7.316666667,NA,Italy,216,EU,different,EU
Château-Ville-Vieille,France,44.75666667,6.791111111,339,Exilles,45.1,6.933333333,NA,Italy,40,EU,different,EU
Brissac-Quincé,France,47.355,-0.448888889,3059,Caluso,45.3,7.883333333,NA,Italy,679,EU,different,EU
Caluire-et-Cuire,France,45.79472222,4.846388889,42581,Nichelino,45,7.65,NA,Italy,236,EU,different,EU
Montbazin,France,43.51583333,3.696111111,2937,Cavaglià,45.4,8.083333333,NA,Italy,406,EU,different,EU
Mayenne,France,48.30305556,-0.613611111,13376,Iesi,43.52278889,13.24395,NA,Italy,1194,EU,different,EU
Chauvigny,France,46.56861111,0.646666667,7086,Trino,45.19527778,8.296111111,NA,Italy,611,EU,different,EU
Issy-les-Moulineaux,France,48.82305556,2.269166667,65662,Macerata,43.30025,13.45330278,42473,Italy,1057,EU,different,EU
Flaviac,France,44.7475,4.673888889,1176,Bistagno,44.66111111,8.371388889,NA,Italy,292,EU,different,EU
Abriès,France,44.79527778,6.927222222,322,Prali,44.88333333,7.05,NA,Italy,14,EU,different,EU
Faucigny,France,46.11861111,6.357777778,540,Camandona,45.64472222,8.1,NA,Italy,145,EU,different,EU
Arles,France,43.67694444,4.628611111,53660,Vercelli,45.31666667,8.416666667,NA,Italy,351,EU,different,EU
Aubervilliers,France,48.91111111,2.3825,77452,Empoli,43.71666667,10.95,47904,Italy,875,EU,different,EU
Chalon-sur-Saône,France,46.78111111,4.853888889,45166,Novara,45.45,8.616666667,104471,Italy,326,EU,different,EU
Cran-Gevrier,France,45.90361111,6.103888889,17493,Piossasco,44.98333333,7.466666667,NA,Italy,148,EU,different,EU
Saint-Étienne,France,45.43388889,4.389722222,172023,Ferrara,44.835297,11.619865,132445,Italy,571,EU,different,EU
Tourcoing,France,50.7225,3.160277778,93974,Biella,45.56638889,8.053333333,NA,Italy,678,EU,different,EU
Vianne,France,44.19694444,0.321111111,1040,Alluvioni Cambiò,44.99666667,8.776388889,NA,Italy,675,EU,different,EU
Jougne,France,46.76361111,6.387777778,1577,Buttigliera Alta,45.06666667,7.416666667,NA,Italy,205,EU,different,EU
Vienne,France,45.52555556,4.874722222,29325,Udine,46.06666667,13.23333333,99094,Italy,650,EU,different,EU
Mauguio,France,43.61638889,4.0075,16659,Boves,44.33333333,7.55,NA,Italy,294,EU,different,EU
La Fare-les-Oliviers,France,43.55166667,5.194722222,7980,Coggiola,45.68333333,8.183333333,NA,Italy,335,EU,different,EU
Fontainebleau,France,48.40888889,2.701666667,14839,Lodi,45.31666667,9.5,43325,Italy,620,EU,different,EU
Privas,France,44.735,4.599166667,8305,Tortona,44.89416667,8.865555556,27163,Italy,337,EU,different,EU
Dijon,France,47.32305556,5.041944444,153003,Reggio Emilia,44.7,10.63333333,170996,Italy,521,EU,different,EU
Bourg-en-Bresse,France,46.20472222,5.228055556,40490,Parma,44.80147222,10.328,194152,Italy,427,EU,different,EU
Charleville-Mézières,France,49.76,4.719444444,48991,Mantua,45.15638889,10.79111111,48103,Italy,685,EU,different,EU
Les Sables-d'Olonne,France,46.49638889,-1.784722222,14253,Trapani,38.01666667,12.51666667,68665,Italy,1504,EU,different,EU
Valenciennes,France,50.35916667,3.525,42851,Agrigento,37.311075,13.57654722,59705,Italy,1656,EU,different,EU
Decazeville,France,44.55916667,2.255555556,5911,Coazze,45.05181,7.30063,NA,Italy,402,EU,different,EU
Nevers,France,46.9925,3.156666667,34841,Mantua,45.15638889,10.79111111,48103,Italy,623,EU,different,EU
Saint-Ouen-l'Aumône,France,49.04416667,2.110277778,24439,Fano,43.84353056,13.01975556,60848,Italy,1015,EU,different,EU
Argenteuil,France,48.94777778,2.2475,106817,Alessandria,44.91333056,8.62,93861,Italy,659,EU,different,EU
Chevreuse,France,48.7075,2.038333333,5750,Giaveno,45.03333333,7.35,NA,Italy,574,EU,different,EU
Romans-sur-Isère,France,45.04555556,5.050833333,33632,Varese,45.81666667,8.833333333,80629,Italy,307,EU,different,EU
Lançon-Provence,France,43.5925,5.128055556,8671,Vogogna,46,8.283333333,NA,Italy,366,EU,different,EU
Saintes-Maries-de-la-Mer,France,43.45166667,4.428055556,2593,Grosseto,42.77222222,11.10888889,82263,Italy,547,EU,different,EU
Saint-Jean-de-Maurienne,France,45.27666667,6.345,8507,Giaveno,45.03333333,7.35,NA,Italy,83,EU,different,EU
Montélimar,France,44.55861111,4.750833333,36643,Rivoli,45.0725,7.527222222,NA,Italy,226,EU,different,EU
Villefranche-sur-Mer,France,43.70416667,7.311666667,5326,Villafranca d'Asti,44.91277778,8.032777778,NA,Italy,146,EU,different,EU
Corte,France,42.30555556,9.150555556,7332,Nuoro,40.31666667,9.333333333,NA,Italy,222,EU,different,EU
Nîmes,France,43.83694444,4.36,150564,Verona,45.43815833,10.99374167,252520,Italy,554,EU,different,EU
Reims,France,49.26527778,4.028611111,182592,Florence,43.77138889,11.25416667,382808,Italy,823,EU,different,EU
Thionville,France,49.35805556,6.168333333,41325,Varallo Pombia,45.66666667,8.633333333,NA,Italy,450,EU,different,EU
Mâcon,France,46.30666667,4.831944444,33350,Lecco,45.85,9.4,NA,Italy,356,EU,different,EU
Gap,France,44.55861111,6.077777778,40255,Pinerolo,44.88333333,7.333333333,NA,Italy,106,EU,different,EU
Caen,France,49.18222222,-0.370555556,107229,Treviso,45.67221944,12.24221944,83449,Italy,1024,EU,different,EU
Le Teil,France,44.54527778,4.682222222,8292,Trofarello,44.98333333,7.733333333,NA,Italy,246,EU,different,EU
Tremblay-en-France,France,48.95611111,2.576388889,34614,Marsciano,42.91666667,12.33333333,18949,Italy,1009,EU,different,EU
Montreuil,France,48.86027778,2.443055556,104139,Grosseto,42.77222222,11.10888889,82263,Italy,952,EU,different,EU
Mulhouse,France,47.74861111,7.339166667,110755,Bergamo,45.695,9.67,119806,Italy,289,EU,different,EU
Chorges,France,44.54555556,6.276388889,2774,Bricherasio,44.82444444,7.306388889,NA,Italy,87,EU,different,EU
Chaville,France,48.80861111,2.188611111,19717,Settimo Torinese,45.13333333,7.766666667,NA,Italy,588,EU,different,EU
Charnay-lès-Mâcon,France,46.30916667,4.784444444,6919,Castagnole delle Lanze,44.75222222,8.151388889,NA,Italy,314,EU,different,EU
La Verrière,France,48.75861111,1.962222222,5978,Panicale,43.03333333,12.1,NA,Italy,1009,EU,different,EU
Briançon,France,44.89583333,6.635,12190,Susa,45.133333,7.05,NA,Italy,42,EU,different,EU
Saint-Marcel,France,46.77555556,4.889444444,5962,Romentino,45.46666667,8.716666667,NA,Italy,329,EU,different,EU
Saint-Ouen,France,48.90694444,2.333055556,47534,Terni,42.56666667,12.65,111401,Italy,1065,EU,different,EU
Avrieux,France,45.21527778,6.720833333,409,Piedicavallo,45.7,7.95,NA,Italy,110,EU,different,EU
Behren-lès-Forbach,France,49.17388889,6.934722222,7439,Carbonia,39.15,8.516666667,NA,Italy,1122,EU,different,EU
Tours,France,47.39277778,0.688333333,134803,Ragusa,36.925,14.73055556,73276,Italy,1637,EU,different,EU
Alfortville,France,48.7975,2.424166667,44818,San Benedetto del Tronto,42.94378056,13.88333056,NA,Italy,1098,EU,different,EU
Tours,France,47.39277778,0.688333333,134803,Parma,44.80147222,10.328,194152,Italy,796,EU,different,EU
Valence,France,44.9325,4.890833333,61767,Asti,44.9,8.206944444,76173,Italy,261,EU,different,EU
Chantraine,France,48.16972222,6.441666667,3158,Cantarana,44.90333333,8.028611111,NA,Italy,383,EU,different,EU
Bayonne,France,43.4925,-1.476388889,47492,Ascoli Piceno,42.85472222,13.57527778,49253,Italy,1221,EU,different,EU
Chambéry,France,45.56638889,5.920833333,58653,Cuneo,44.38333333,7.55,56065,Italy,184,EU,different,EU
Chaumont,France,48.11083333,5.138611111,22560,Ivrea,45.46222222,7.874722222,NA,Italy,361,EU,different,EU
Nice,France,43.70194444,7.268333333,342295,Cuneo,44.38333333,7.55,56065,Italy,79,EU,different,EU
Échirolles,France,45.14277778,5.717777778,35684,Grugliasco,45.06888889,7.578611111,NA,Italy,146,EU,different,EU
Antony,France,48.75333333,2.296666667,61727,Collegno,45.08333333,7.583333333,49782,Italy,572,EU,different,EU
Orléans,France,47.90222222,1.904166667,114977,Treviso,45.67221944,12.24221944,83449,Italy,824,EU,different,EU
Vienne,France,45.52555556,4.874722222,29325,Cesena,44.13333333,12.23333333,96583,Italy,600,EU,different,EU
Épinal,France,48.17361111,6.451666667,32188,Chieri,45.01666667,7.816666667,NA,Italy,366,EU,different,EU
Pérenchies,France,50.66805556,2.9725,8275,Pietralunga,43.45,12.43333333,NA,Italy,1074,EU,different,EU
Nice,France,43.70194444,7.268333333,342295,Venice,45.43972222,12.33194444,264579,Italy,445,EU,different,EU
Beausoleil,France,43.74194444,7.423611111,13279,Alba,44.71666667,8.083333333,NA,Italy,120,EU,different,EU
Besançon,France,47.24222222,6.021388889,116952,Empoli,43.71666667,10.95,47904,Italy,549,EU,different,EU
Juan-les-Pins,France,43.57111111,7.109444444,NA,Olympia,37.63833333,21.63083333,NA,Greece,1389,EU,different,EU
Abbeville,France,50.10527778,1.835277778,23821,Argos,37.61666667,22.71666667,22209,Greece,2162,EU,different,EU
Suresnes,France,48.87111111,2.226944444,48066,Villach,46.61666667,13.83333333,61218,Austria,902,EU,different,EU
Grenoble,France,45.18694444,5.726388889,160779,Kaunas,54.9,23.93333333,297669,Lithuania,1681,EU,different,EU
Sartrouville,France,48.94527778,2.17,51599,Kallithea,37.95,23.7,NA,Greece,2113,EU,different,EU
Sanary-sur-Mer,France,43.11916667,5.802222222,16047,Purkersdorf,48.20916667,16.17916667,9527,Austria,984,EU,different,EU
Roubaix,France,50.69,3.181666667,95866,Sosnowiec,50.3,19.16666667,214488,Poland,1129,EU,different,EU
Antibes,France,43.58,7.123055556,75456,Olympia,37.63833333,21.63083333,NA,Greece,1389,EU,different,EU
Bayonne,France,43.4925,-1.476388889,47492,Hydra,37.35,23.46666667,1980,Greece,2209,EU,different,EU
Bourges,France,47.08361111,2.395555556,67189,Koszalin,54.19027778,16.18166667,108576,Poland,1249,EU,different,EU
Sélestat,France,48.25944444,7.454166667,19332,Dornbirn,47.41666667,9.75,48067,Austria,195,EU,different,EU
Vitré,France,48.12333333,-1.209444444,17463,Środa Wielkopolska,52.23333333,17.28333333,NA,Poland,1389,EU,different,EU
Antony,France,48.75333333,2.296666667,61727,Eleftheroupoli,40.91611111,24.25555556,NA,Greece,1929,EU,different,EU
Menton,France,43.77472222,7.499722222,28100,Nauplion,37.56666667,22.8,14203,Greece,1460,EU,different,EU
Conches-en-Ouche,France,48.96055556,0.9425,5097,Rhodes,36.43333333,28.21666667,NA,Greece,2606,EU,different,EU
Saint-Malo,France,48.64722222,-2.008888889,44919,Gniezno,52.53333333,17.6,NA,Poland,1445,EU,different,EU
Plérin,France,48.53444444,-2.770833333,14394,Wronki,52.7,16.38333333,NA,Poland,1423,EU,different,EU
Laval,France,48.07277778,-0.77,50479,Chalkidiki,40.583333,23.5,NA,Greece,2091,EU,different,EU
Lille,France,50.63194444,3.0575,231491,Wrocław,51.10773,17.03533,634404,Poland,981,EU,different,EU
Roanne,France,46.03611111,4.068055556,35507,Legnica,51.21666667,16.16666667,101133,Poland,1057,EU,different,EU
Briennon,France,46.14916667,4.085555556,1721,Lassee,48.22555556,16.82305556,2712,Austria,989,EU,different,EU
Rueil-Malmaison,France,48.87777778,2.188333333,79762,Kitzbühel,47.44638889,12.39194444,8330,Austria,773,EU,different,EU
Libercourt,France,50.48388889,3.013888889,8534,Jarocin,51.96666667,17.5,NA,Poland,1020,EU,different,EU
Marseille,France,43.29666667,5.376388889,855393,Piraeus,37.96666667,23.63333333,163910,Greece,1646,EU,different,EU
Saint-Étienne,France,45.43388889,4.389722222,172023,Katowice,50.25,19,303314,Poland,1212,EU,different,EU
Bourg-de-Péage,France,45.03777778,5.05,10137,Schwaz,47.35,11.7,13444,Austria,573,EU,different,EU
Châtenay-Malabry,France,48.76527778,2.278055556,32623,Kos,36.81527778,27.11027778,NA,Greece,2406,EU,different,EU
Liévin,France,50.42194444,2.777777778,31517,Rybnik,50.08333333,18.5,NA,Poland,1116,EU,different,EU
Nancy,France,48.69277778,6.183611111,104072,Lublin,51.23333333,22.56666667,324637,Poland,1203,EU,different,EU
Dijon,France,47.32305556,5.041944444,153003,Białystok,53.11666667,23.16666667,295624,Poland,1436,EU,different,EU
Halluin,France,50.78277778,3.124722222,20915,Pniewy,52.51666667,16.26666667,NA,Poland,926,EU,different,EU
Besançon,France,47.24222222,6.021388889,116952,Bielsko-Biała,49.8225,19.04444444,172781,Poland,999,EU,different,EU
Rognac,France,43.48777778,5.232222222,11700,Veroia,40.52027778,22.20194444,43158,Greece,1438,EU,different,EU
Orléans,France,47.90222222,1.904166667,114977,Kraków,50.06666667,19.95,761900,Poland,1335,EU,different,EU
Reims,France,49.26527778,4.028611111,182592,Salzburg,47.8,13.03333333,150887,Austria,682,EU,different,EU
Rouen,France,49.44305556,1.1025,110755,Gdańsk,54.36666667,18.63333333,462249,Poland,1317,EU,different,EU
Saint-Étienne,France,45.43388889,4.389722222,172023,Patras,38.25,21.73333333,168034,Greece,1639,EU,different,EU
Marseille,France,43.29666667,5.376388889,855393,Gdańsk,54.36666667,18.63333333,462249,Poland,1562,EU,different,EU
Lourdes,France,43.095,-0.045277778,14644,Mariazell,47.77305556,15.31638889,3910,Austria,1304,EU,different,EU
Rennes,France,48.11416667,-1.680833333,211373,Poznań,52.4,16.91666667,544612,Poland,1401,EU,different,EU
Ruelle-sur-Touvre,France,45.67777778,0.220277778,7357,Amstetten,48.11666667,14.86666667,23550,Austria,1143,EU,different,EU
Valenciennes,France,50.35916667,3.525,42851,Gliwice,50.28333333,18.66666667,186347,Poland,1073,EU,different,EU
Fosses,France,49.09805556,2.506666667,9591,Serres,41.08333333,23.55,58287,Greece,1868,EU,different,EU
Nice,France,43.70194444,7.268333333,342295,Gdańsk,54.36666667,18.63333333,462249,Poland,1443,EU,different,EU
Châteaugiron,France,48.04805556,-1.503055556,7423,Puszczykowo,52.28166667,16.85416667,NA,Poland,1385,EU,different,EU
Puteaux,France,48.88416667,2.238055556,43891,Mödling,48.08555556,16.28305556,20739,Austria,1037,EU,different,EU
Tourcoing,France,50.7225,3.160277778,93974,Jastrzębie-Zdrój,49.95,18.58333333,NA,Poland,1096,EU,different,EU
Hénin-Beaumont,France,50.42111111,2.95,26748,Konin,52.21666667,18.26666667,NA,Poland,1081,EU,different,EU
Plaisir,France,48.81777778,1.946388889,31753,Bad Aussee,47.61,13.78277778,4771,Austria,886,EU,different,EU
Colmar,France,48.08111111,7.355,67956,Eisenstadt,47.84555556,16.51888889,14241,Austria,682,EU,different,EU
Cargèse,France,42.13527778,8.594722222,1282,Oitylo,36.71055556,22.38611111,NA,Greece,1327,EU,different,EU
Grenoble,France,45.18694444,5.726388889,160779,Innsbruck,47.26666667,11.38333333,130894,Austria,493,EU,different,EU
Marseille,France,43.29666667,5.376388889,855393,Thessaloniki,40.63333333,22.95,385406,Greece,1480,EU,different,EU
Granville,France,48.83805556,-1.586944444,13104,Judenburg,47.1725,14.66027778,10195,Austria,1220,EU,different,EU
Montluçon,France,46.34,2.6025,37839,Leszno,51.85,16.56666667,NA,Poland,1184,EU,different,EU
Liévin,France,50.42194444,2.777777778,31517,Bruck an der Mur,47.41055556,15.26861111,15892,Austria,971,EU,different,EU
Cabourg,France,49.28833333,-0.116388889,3709,Mayrhofen,47.16666667,11.86666667,3788,Austria,917,EU,different,EU
Avignon,France,43.94861111,4.808333333,90305,Ioannina,39.66666667,20.85,65574,Greece,1409,EU,different,EU
Orange,France,44.1375,4.808888889,28948,Kielce,50.8725,20.63194444,191605,Poland,1400,EU,different,EU
Beaune,France,47.02416667,4.838888889,21838,Krems an der Donau,48.41666667,15.61666667,24344,Austria,820,EU,different,EU
Bordeaux,France,44.83777778,-0.579444444,243626,Kraków,50.06666667,19.95,761900,Poland,1643,EU,different,EU
Nice,France,43.70194444,7.268333333,342295,Thessaloniki,40.63333333,22.95,385406,Greece,1334,EU,different,EU
Seltz,France,48.89416667,8.106944444,3311,Obervellach,46.93194444,13.20222222,2285,Austria,438,EU,different,EU
Dijon,France,47.32305556,5.041944444,153003,Białystok,53.13333333,23.16666667,295624,Poland,1436,EU,different,EU
Saint-Avold,France,49.10416667,6.708055556,16126,Włocławek,52.65,19.05,NA,Poland,950,EU,different,EU
Granville,France,48.83805556,-1.586944444,13104,Prienai,54.63333333,23.94166667,NA,Lithuania,1860,EU,different,EU
Strasbourg,France,48.57333333,7.752222222,275718,Vilnius,54.68333333,25.28333333,532762,Lithuania,1382,EU,different,EU
Felletin,France,45.88361111,2.173055556,1718,Schladming,47.39416667,13.68916667,6782,Austria,894,EU,different,EU
Royan,France,45.62305556,-1.043055556,18138,Nauplion,37.56666667,22.8,14203,Greece,2165,EU,different,EU
Hautmont,France,50.24805556,3.924444444,14271,Kalisz,51.7575,18.08,103738,Poland,1003,EU,different,EU
Saint-Étienne,France,45.43388889,4.389722222,172023,Warsaw,52.21666667,21.03333333,1748916,Poland,1428,EU,different,EU
Clichy,France,48.90361111,2.305555556,59255,St. Pölten,48.2,15.61666667,53445,Austria,982,EU,different,EU
Yvetot,France,49.61694444,0.753055556,11849,Murowana Goślina,52.57583333,17.00972222,NA,Poland,1179,EU,different,EU
Ludres,France,48.62166667,6.161666667,6491,Furth bei Göttweig,48.36666667,15.6,2993,Austria,696,EU,different,EU
Vienne,France,45.52555556,4.874722222,29325,Wrocław,51.10773,17.03533,634404,Poland,1090,EU,different,EU
Amiens,France,49.89194444,2.297777778,132699,Nauplion,37.56666667,22.8,14203,Greece,2130,EU,different,EU
Brignoles,France,43.40583333,6.061666667,16454,Szamotuły,52.6,16.58333333,NA,Poland,1285,EU,different,EU
Boutigny-sur-Essonne,France,48.43583333,2.3775,2979,Lans,47.23833333,11.43138889,1062,Austria,688,EU,different,EU
Nevers,France,46.9925,3.156666667,34841,Stavroupoli,40.66667,22.91667,41653,Greece,1728,EU,different,EU
Saint-Jean-d'Angély,France,45.94416667,-0.521111111,7295,Mondsee,47.85666667,13.35166667,3697,Austria,1074,EU,different,EU
Faches-Thumesnil,France,50.59888889,3.073611111,17497,Naousa,40.63055556,22.06416667,18882,Greece,1838,EU,different,EU
Saint-Dié-des-Vosges,France,48.28416667,6.949166667,20471,Zakopane,49.3,19.96666667,27490,Poland,959,EU,different,EU
Liévin,France,50.42194444,2.777777778,31517,Pasvalys,56.06111111,24.40277778,NA,Lithuania,1561,EU,different,EU
La Baule-Escoublac,France,47.28583333,-2.392222222,15456,Corfu,39.62388889,19.82,NA,Greece,1976,EU,different,EU
Villeneuve-lès-Avignon,France,43.96638889,4.795833333,11716,Gytheio,36.76166667,22.56611111,NA,Greece,1700,EU,different,EU
Saint-Étienne,France,45.43388889,4.389722222,172023,Kavala,40.93555556,24.40916667,70501,Greece,1693,EU,different,EU
Montpellier,France,43.59861111,3.896944444,272084,Kos,36.81527778,27.11027778,NA,Greece,2102,EU,different,EU
Granville,France,48.83805556,-1.586944444,13104,Preveza,38.95,20.75,19042,Greece,2089,EU,different,EU
Le Mans,France,48.00416667,0.196944444,143599,Volos,39.36666667,22.93333333,86046,Greece,2054,EU,different,EU
Saint-Brieuc,France,48.51361111,-2.760277778,45331,Agia Paraskevi,38.00527778,23.82083333,NA,Greece,2431,EU,different,EU
Chartres-de-Bretagne,France,48.03944444,-1.703888889,7395,Lwówek,52.45,16.18333333,NA,Poland,1359,EU,different,EU
Château-Gontier,France,47.82861111,-0.702777778,11582,Gmina Rabka-Zdrój,49.61666667,19.96666667,NA,Poland,1524,EU,different,EU
Val-de-Reuil,France,49.27444444,1.210277778,12969,Sztum,53.92166667,19.03361111,NA,Poland,1330,EU,different,EU
Saint-Germain-en-Laye,France,48.89638889,2.090555556,39547,Konstancin-Jeziorna,52.08333333,21.11666667,NA,Poland,1387,EU,different,EU
Noyelles-lès-Vermelles,France,50.48944444,2.725833333,2344,Łomianki,52.33333333,20.88333333,NA,Poland,1272,EU,different,EU
Paris,France,48.85657778,2.351827778,2229621,Rome,41.89305556,12.48277778,2864348,Italy,1105,EU,different,EU
Narbonne,France,43.18472222,3.003611111,52802,Aosta,45.73722222,7.320555556,34324,Italy,445,EU,different,EU
Lourdes,France,43.095,-0.045277778,14644,Częstochowa,50.8,19.11666667,NA,Poland,1681,EU,different,EU
Montpellier,France,43.59861111,3.896944444,272084,Salerno,40.68055556,14.75972222,135066,Italy,952,EU,different,EU
Sallaumines,France,50.41972222,2.862222222,9505,Wodzisław Śląski,50,18.45,NA,Poland,1108,EU,different,EU
Avion,France,50.40972222,2.832777778,17876,Zgorzelec,51.15277778,15,31359,Poland,858,EU,different,EU
La Flèche,France,47.69972222,-0.076111111,14992,Złotów,53.36027778,17.04083333,NA,Poland,1359,EU,different,EU
Le Havre,France,49.49416667,0.108055556,172074,Trieste,45.63611111,13.80416667,204420,Italy,1111,EU,different,EU
Rillieux-la-Pape,France,45.82055556,4.8975,29966,Łęczyca,52.05,19.2,NA,Poland,1250,EU,different,EU
Châteauroux,France,46.80972222,1.690277778,45209,Olsztyn,53.78333333,20.48333333,173599,Poland,1537,EU,different,EU
Saint-Junien,France,45.88722222,0.901111111,11301,Gmina Żukowo,54.34583333,18.36055556,NA,Poland,1553,EU,different,EU
Compiègne,France,49.41416667,2.822222222,40430,Elbląg,54.16666667,19.4,122568,Poland,1253,EU,different,EU
Évry,France,48.62388889,2.429444444,53237,Nowy Targ,49.46666667,20.01666667,33545,Poland,1282,EU,different,EU
Saverne,France,48.74138889,7.361944444,11609,Mława,53.11666667,20.36666667,NA,Poland,1031,EU,different,EU
Tinqueux,France,49.25,3.990833333,10023,Myślenice,49.83333333,19.93333333,NA,Poland,1150,EU,different,EU
Noyelles-sous-Lens,France,50.43055556,2.872777778,6796,Szczecinek,53.71666667,16.68333333,NA,Poland,1010,EU,different,EU
Luitré,France,48.28333333,-1.118611111,1306,Gmina Przygodzice,51.58333333,17.83333333,NA,Poland,1401,EU,different,EU
Grasse,France,43.65805556,6.925277778,50916,Opole,50.66666667,17.93333333,125992,Poland,1138,EU,different,EU
Grenoble,France,45.18694444,5.726388889,160779,Catania,37.50266944,15.08726944,314318,Italy,1156,EU,different,EU
Bourg-de-Péage,France,45.03777778,5.05,10137,Verbania,45.93333333,8.533333333,NA,Italy,289,EU,different,EU
Troyes,France,48.29888889,4.078055556,59671,Zielona Góra,51.93972222,15.505,138763,Poland,908,EU,different,EU
Bourg-en-Bresse,France,46.20472222,5.228055556,40490,Brzeg,50.86666667,17.48333333,36541,Poland,1039,EU,different,EU
Avignon,France,43.94861111,4.808333333,90305,Orvieto,42.71666667,12.1,NA,Italy,605,EU,different,EU
Seclin,France,50.54833333,3.029444444,12571,Zabrze,50.3,18.78333333,179452,Poland,1114,EU,different,EU
Albertville,France,45.67583333,6.3925,19071,Aosta,45.73722222,7.320555556,34324,Italy,72,EU,different,EU
Chamonix-Mont-Blanc,France,45.92222222,6.868888889,8897,Aosta,45.73722222,7.320555556,34324,Italy,41,EU,different,EU
Châtellerault,France,46.81694444,0.545277778,31262,Piła,53.15,16.73333333,NA,Poland,1350,EU,different,EU
